week_starting_date,sales,bing_brand_search_clicks,bing_brand_search_spend,blackfriday_dummy,covid_trend,google_brand_search_clicks,google_brand_search_imp,google_brand_search_spend,google_display_clicks,google_display_imp,google_display_spend,google_nonbrand_search_clicks,google_nonbrand_search_imp,google_nonbrand_search_spend,google_video_clicks,google_video_imp,google_video_spend,gwp_units_distributed,launch_fragrance_trend,launch_makeup_trend,launch_skincare_trend,market_sales,mothersday_dummy,nongoogle_display_spend,nongoogle_video_spend,pinterest_awareness_imp,pinterest_awareness_spend,pinterest_conversion_imp,pinterest_conversion_spend,print_coop_spend,print_pure_spend,samples_quantity_distributed,snap_awareness_imp,snap_awareness_spend,snap_conversion_imp,snap_conversion_spend,tiktok_awareness_imp,tiktok_awareness_spend,tv_coop_spend,tv_pure_imp,tv_pure_spend,vday_dummy,xmas_dummy,youtube_video_spend,fbig_spend,fbig_imp,youtube_video_imp,outdoor_impressions,outdoor_spend
2019-06-03,9289882.693,1821.861423,6868.304248,0,0.0,2742.748902,48760.42087,4804.742946,1750.550239,2885322.962,13883.49926,2430.512394,55961.6781,4639.006575,36.11197976,144750.0266,2605.500479,0,20.90696701,5.676986326,7.415746778,305597951.4,0,0.0,0.0,0.0,0.0,20.789643,0.0,26620.5785,0.0,208810,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,13444.23715,2148503.125530361,0.0,0.0,0.0
2019-06-10,7877616.601,1889.850722,5410.619955,0,0.0,2537.086773,41879.76755,3785.015504,906.763004,1386706.188,7514.296959,1586.28477,42219.74863,3146.049254,25.54261983,97141.22556,1748.54206,0,24.11773976,9.209585418,7.243822333,330777164.9,0,0.0,0.0,0.0,0.0,53.9540735,0.0,26620.54487,0.0,567189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,17661.09506,2822392.785350325,0.0,0.0,0.0
2019-06-17,6779537.891,2083.116602,3525.075222,0,0.0,2142.056946,42621.8247,2465.977001,101.7300893,61842.20573,1113.159703,1648.820149,42427.17232,3237.249618,24.66183984,100385.1383,1806.932489,0,17.44908751,8.826549655,8.534093447,279751001.4,0,0.0,0.0,322613.1851,1947.12049,112.3630705,0.0,19098.04119,0.0,508934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,5969.195235,953928.02702074,0.0,0.0,0.0
2019-06-24,8152210.662,2071.785052,3794.967561,0,0.0,1614.910119,39450.57633,2654.781,288.8958381,135038.5464,2430.693834,1736.457759,45270.77053,3392.619209,26.42339983,115328.0113,2075.904203,0,0.0,8.011642353,7.697089411,277170297.0,0,0.0,0.0,349689.2201,2161.370299,72.76375049,0.0,291.6979301,0.0,476393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,6456.33976,1031777.8538922858,0.0,0.0,0.0
2019-07-01,6559549.481,1700.991556,4502.641742,0,0.0,1100.094213,33220.81943,3149.836608,0.440389997,41.39665973,0.745139875,5287.762695,116205.2681,9420.140214,0.0,573.3877762,10.32097997,0,0.0,7.434094052,8.297044602,250162302.5,0,32341.27446,0.0,0.0,0.0,0.0,0.0,291.6982982,86858.47207,273099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,6404.138003,1588772.573,0.0,0.0,0.0
2019-07-08,9809436.038,1620.411645,4829.431053,0,0.0,1299.590881,41215.65944,3378.443055,0.0,0.0,0.0,5671.782773,126888.6891,10174.40497,0.0,0.0,0.0,0,0.0,7.731431664,5.584253235,286625083.9,0,32341.27446,0.0,0.0,0.0,0.0,0.0,291.6986658,49266.73138,512532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,7229.553695,1887977.912,0.0,0.0,0.0
2019-07-15,8647284.535,1457.992763,5723.547003,0,0.0,1496.8856,42978.5406,4003.924564,0.0,0.0,0.0,5503.994184,125268.9347,10088.43644,0.0,0.0,0.0,0,0.0,8.03242176,6.636966589,289366211.6,0,32341.27446,0.0,0.0,0.0,0.0,0.0,291.6986658,0.0,291780,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,29253.10796,6397122.919,0.0,0.0,0.0
2019-07-22,7670843.895,1340.270549,4548.735969,0,0.0,1653.224049,47067.12133,3182.081963,153.255719,234603.6785,1054.224287,5654.167173,131440.5601,10722.19288,0.0,0.0,0.0,2457,0.0,8.239963358,6.254239937,280741900.8,0,32341.27446,0.0,0.0,0.0,0.0,0.0,291.6986658,21165.40431,264364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,6611.438902,15597.01869,1931496.02,620485.7602,0.0,0.0
2019-07-29,7169139.913,1740.022451,4278.83104,0,0.0,1666.435749,44111.22367,2993.269156,1083.359393,743134.7794,4005.642463,5481.093904,129395.389,10652.84907,66.05849957,18722.74034,523.02508,5481,0.0,8.57120495,6.563995284,290751832.5,0,0.0,0.0,0.0,0.0,0.0,0.0,12580.58837,17348.69147,244009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,8900.654948,33752.82374,9125491.618,1020849.273,0.0,0.0
2019-08-05,16286039.14,1710.434515,6115.769719,0,0.0,2613.714633,56889.13944,4278.305148,1211.953272,1212994.354,6005.011285,5827.680832,131048.613,11488.11475,77.50863949,18936.76988,522.9797199,0,0.0,8.341672999,6.327909929,297056853.4,0,0.0,5760.532349,0.0,0.0,0.0,0.0,21797.25481,206293.8704,349192,0.0,0.0,0.0,0.0,0.0,0.0,145949.9304,0.0,0.0,0,0,7658.683943,28119.24798,9195219.169,923289.9894,0.0,0.0
